Species,Weight,Blength,Standard error of length,Tentweigth,TentBlength,Standard error
1,4.74,74.8125,0.813309314,0.3,25.817,0.280988012
1,92.18,76.3,1.587430065,226.24,25.041,0.327234746
1,128,81.5875,1.095035898,24.24,25.254,0.482768551
1,72.45,83.8375,0.852487652,3.38,25.4325,0.252507295
1,5.11,76.3,0.901314829,69.6,25.6245,0.329185978
1,119.36,79.4125,0.549603625,11.45,26.2625,0.433210703
1,102.75,79.525,0.911169722,0.52,25.3315,0.332450451
1,226.24,84.2125,0.96181623,0.71,25.229,0.295698015
1,8.71,79.05,0.864238332,2.67,25.403,0.248792981
1,8.02,70.8,0.540650193,5.11,24.4725,0.260237619
1,2.77,72.025,0.493677127,,,
1,5.37,71,0.670575166,,,
1,2.67,71.4125,0.882631196,,,
1,11.45,74.425,0.853032516,,,
1,36.85,73.875,0.796683091,,,
1,3.38,76.3875,1.407974819,,,
1,8.87,74.025,0.728846421,,,
1,69.6,77.6125,0.987999541,,,
1,2.37,74.625,0.60792464,,,
1,0.52,70.2,0.666540558,,,
1,0.51,65.45,0.656345544,,,
1,0.44,64.6125,0.710234163,,,
1,0.3,67.45,0.614677922,,,
1,0.37,67.05,0.781488122,,,
1,0.32,64.9,0.663027347,,,
1,24.24,76.9625,0.476857518,,,
1,1.77,73.7625,0.919001711,,,
2,2.41,64.7875,0.732307771,3.85,22.873,0.43954049
2,7.43,66.9875,1.136342673,0.45,21.982,0.234035085
2,0.2,58.7875,0.901985201,0.46,21.9305,0.256255911
2,1.65,61.725,0.777542519,14.38,23.485,0.486926721
2,0.34,54.5375,0.731183926,7.45,23.4085,0.252958573
2,14.38,66.9625,0.638221985,3.7,22.798,0.234454125
2,4.32,65.3375,0.689983552,0.51,21.8935,0.30875154
2,0.86,58.375,0.912180009,0.2,22.3145,0.293966052
2,3.85,63.1875,0.993047377,0.86,22.4715,0.338009868
